Date,AAPL,GOOG,MSFT,NFLX
2023-01-03,,,,
2023-01-04,,,,
2023-01-05,,,,
2023-01-06,,,,
2023-01-09,,,,
2023-01-10,,,,
2023-01-11,,,,
2023-01-12,,,,
2023-01-13,,,,
2023-01-17,,,,
2023-01-18,,,,
2023-01-19,,,,
2023-01-20,,,,
2023-01-23,,,,
2023-01-24,90.1194792518005,71.50610265068738,52.239611695802445,82.95695440728241
2023-01-25,86.66036056649519,66.99153008114311,62.54630940219331,81.08741444571191
2023-01-26,93.24202911223466,75.7160750904585,77.6414728809441,78.44696004103842
2023-01-27,92.31968567034978,75.87628736241523,76.39171747724359,73.74502710912589
2023-01-30,79.64932219095823,67.34925216296412,66.49037457442795,68.50730888770391
2023-01-31,80.29493541256731,69.0843851942112,68.72036529482237,64.48062512697473
2023-02-01,78.7572444460778,67.3740022376474,67.44758438662106,67.58836591674537
2023-02-02,83.39090746270753,75.27685953055365,72.58092079354108,68.24136869931405
2023-02-03,84.75355693923505,67.20221062197518,65.10268581061129,66.69693983269866
2023-02-06,76.32545258705125,65.19752152366425,62.876390006361014,68.19777456053808
2023-02-07,80.20509761506571,69.63768301562311,72.67531904821479,68.63803842592205
2023-02-08,73.8880997999937,56.43626786320177,75.98566822809421,77.87484094667472
2023-02-09,69.5195266749391,45.890706304935776,68.93815377137415,64.45504634102228
2023-02-10,66.39072830951716,42.967886755793984,67.11711562640569,42.75214051806892
2023-02-13,67.90007759688996,45.137446297716984,71.65040634812465,46.455541631175954
2023-02-14,67.94302871452453,47.82182323820492,73.53818735938145,44.402464637457605
2023-02-15,67.97343244067261,47.46179804369435,67.05599753125121,47.52972981713502
2023-02-16,62.43607823930824,43.89095585219741,60.06328738796288,43.419682623838824
2023-02-17,66.18094705757952,45.667870817360075,61.26190895736296,46.40011911786226
2023-02-21,56.488072735520944,40.07614290358866,53.55055317530405,39.931083809090204
2023-02-22,55.50982542773345,37.35889176896777,49.04113474708683,32.1009042031463
2023-02-23,47.33880773370577,21.812399401777938,41.23417824001315,23.653420693558772
2023-02-24,34.83848205742267,23.18350689623432,41.75546719901056,22.165127370888385
2023-02-27,42.10526981428925,26.617696937221496,43.961282350671404,28.406155478834123
2023-02-28,33.33335675074923,13.377391863137149,29.700107678873124,26.927426415948347
2023-03-01,34.32907307791095,21.049439293273522,28.234056610052278,21.38799107812143
2023-03-02,37.98452535145461,38.461534162077385,37.16397725304995,22.033170730391376
2023-03-03,50.039040328570074,47.154458517240826,42.5462794817898,29.544890228326935
2023-03-06,49.96089861018569,51.79234099698879,34.20764746650906,17.039656854502496
2023-03-07,47.05450749652941,47.776515395362516,31.07936809037095,14.621426127099369
2023-03-08,45.32317626820686,42.281048057942975,32.72887584742432,16.74929543369062
