,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
,AAPL,GOOG,MSFT,NFLX,AAPL,GOOG,MSFT,NFLX,AAPL,GOOG,MSFT,NFLX,AAPL,GOOG,MSFT,NFLX,AAPL,GOOG,MSFT,NFLX,AAPL,GOOG,MSFT,NFLX
Date,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-03,124.37480163574219,89.69999694824219,237.47433471679688,294.95001220703125,125.06999969482422,89.69999694824219,239.5800018310547,294.95001220703125,130.89999389648438,91.55000305175781,245.75,298.3900146484375,124.16999816894531,89.0199966430664,237.39999389648438,288.70001220703125,130.27999877929688,89.83000183105469,243.0800018310547,298.05999755859375,112117500,20738500,25740000,6764000
2023-01-04,125.65763854980469,88.70999908447266,227.08645629882812,309.4100036621094,126.36000061035156,88.70999908447266,229.10000610351562,309.4100036621094,128.66000366210938,91.23999786376953,232.8699951171875,311.1400146484375,125.08000183105469,87.80000305175781,225.9600067138672,295.510009765625,126.88999938964844,91.01000213623047,232.27999877929688,298.239990234375,89113600,27046500,50623400,9345100
2023-01-05,124.32508850097656,86.7699966430664,220.35610961914062,309.70001220703125,125.0199966430664,86.7699966430664,222.30999755859375,309.70001220703125,127.7699966430664,88.20999908447266,227.5500030517578,314.17999267578125,124.76000213623047,86.55999755859375,221.75999450683594,304.54998779296875,127.12999725341797,88.06999969482422,227.1999969482422,307.0,80962700,23136100,39585600,8328400
2023-01-06,128.89952087402344,88.16000366210938,222.9530792236328,315.54998779296875,129.6199951171875,88.16000366210938,224.92999267578125,315.54998779296875,130.2899932861328,88.47000122070312,225.75999450683594,316.7699890136719,124.88999938964844,85.56999969482422,219.35000610351562,303.69000244140625,126.01000213623047,87.36000061035156,223.0,311.57000732421875,87754700,26612600,43613600,8959800
2023-01-09,129.4265594482422,88.80000305175781,225.1238555908203,315.1700134277344,130.14999389648438,88.80000305175781,227.1199951171875,315.1700134277344,133.41000366210938,90.83000183105469,231.24000549316406,321.70001220703125,129.88999938964844,88.58000183105469,226.41000366210938,313.2200012207031,130.47000122070312,89.19499969482422,226.4499969482422,316.8299865722656,70790800,22996700,27369800,6766600
2023-01-10,130.0033416748047,89.23999786376953,226.83863830566406,327.5400085449219,130.72999572753906,89.23999786376953,228.85000610351562,327.5400085449219,131.25999450683594,89.4749984741211,231.30999755859375,329.3500061035156,128.1199951171875,86.69999694824219,227.3300018310547,311.07000732421875,130.25999450683594,86.72000122070312,227.75999450683594,311.07000732421875,63896200,22855600,27033900,13072300
2023-01-11,132.74801635742188,92.26000213623047,233.69781494140625,327.260009765625,133.49000549316406,92.26000213623047,235.77000427246094,327.260009765625,133.50999450683594,92.44999694824219,235.9499969482422,328.8800048828125,130.4600067138672,89.73999786376953,231.11000061035156,321.3500061035156,131.25,90.05999755859375,231.2899932861328,326.5,69458900,25998800,28669300,9579700
2023-01-12,132.66844177246094,91.91000366210938,236.4137420654297,330.1300048828125,133.41000366210938,91.91000366210938,238.50999450683594,330.1300048828125,134.25999450683594,92.62000274658203,239.89999389648438,332.95001220703125,131.44000244140625,90.56999969482422,233.55999755859375,323.1400146484375,133.8800048828125,92.4000015258789,235.25999450683594,332.5,71379600,22754200,27269500,10856200
2023-01-13,134.0109405517578,92.80000305175781,237.12742614746094,332.82000732421875,134.75999450683594,92.80000305175781,239.22999572753906,332.82000732421875,134.9199981689453,92.9800033569336,239.3699951171875,336.6499938964844,131.66000366210938,90.93000030517578,234.9199981689453,328.8900146484375,132.02999877929688,91.52799987792969,237.0,329.9700012207031,57809700,18630700,21333300,8286800
2023-01-17,135.18438720703125,92.16000366210938,238.2375946044922,326.2200012207031,135.94000244140625,92.16000366210938,240.35000610351562,326.2200012207031,137.2899932861328,92.97000122070312,240.91000366210938,332.5,134.1300048828125,90.83999633789062,237.08999633789062,323.6000061035156,134.8300018310547,92.77999877929688,237.97000122070312,331.0799865722656,63646600,22935800,29831300,9247000
2023-01-18,134.4584503173828,91.77999877929688,233.73745727539062,326.3299865722656,135.2100067138672,91.77999877929688,235.80999755859375,326.3299865722656,138.61000061035156,93.58799743652344,242.3800048828125,330.0799865722656,135.02999877929688,91.4000015258789,235.52000427246094,321.25,136.82000732421875,92.94000244140625,241.57000732421875,326.75,69672800,19641600,30028700,7814100
2023-01-19,134.51812744140625,93.91000366210938,229.89157104492188,315.7799987792969,135.27000427246094,93.91000366210938,231.92999267578125,315.7799987792969,136.25,94.4000015258789,235.52000427246094,324.8900146484375,133.77000427246094,91.37999725341797,230.67999267578125,313.3900146484375,134.0800018310547,91.38999938964844,233.77999877929688,322.57000732421875,58280400,28707700,28623000,18008200
2023-01-20,137.10365295410156,99.27999877929688,238.1087188720703,342.5,137.8699951171875,99.27999877929688,240.22000122070312,342.5,138.02000427246094,99.41999816894531,240.74000549316406,344.0,134.22000122070312,95.91000366210938,234.50999450683594,332.6300048828125,135.27999877929688,95.94999694824219,234.86000061035156,336.7900085449219,80223600,53704800,35389800,28430300
2023-01-23,140.3256378173828,101.20999908447266,240.44796752929688,357.4200134277344,141.11000061035156,101.20999908447266,242.5800018310547,357.4200134277344,143.32000732421875,101.4000015258789,245.1699981689453,362.25,137.89999389648438,98.75,239.64999389648438,340.6300048828125,138.1199951171875,99.12999725341797,241.10000610351562,341.7200012207031,81760300,31791800,31934000,15646900
2023-01-24,141.7377471923828,99.20999908447266,239.91270446777344,363.8299865722656,142.52999877929688,99.20999908447266,242.0399932861328,363.8299865722656,143.16000366210938,101.08999633789062,243.9499969482422,365.6499938964844,140.3000030517578,98.69999694824219,240.44000244140625,355.1400146484375,140.30999755859375,99.55000305175781,242.5,357.5299987792969,66435100,27391400,40234400,11796500
2023-01-25,141.07147216796875,96.7300033569336,238.4952850341797,367.9599914550781,141.86000061035156,96.7300033569336,240.61000061035156,367.9599914550781,142.42999267578125,97.72000122070312,243.3000030517578,368.8999938964844,138.80999755859375,95.26200103759766,230.89999389648438,358.5,140.88999938964844,97.19999694824219,234.47999572753906,360.57000732421875,65799300,31000900,66526600,7766900
2023-01-26,143.15982055664062,99.16000366210938,245.82032775878906,364.8699951171875,143.9600067138672,99.16000366210938,248.0,364.8699951171875,144.25,99.20999908447266,248.30999755859375,369.0199890136719,141.89999389648438,96.81999969482422,242.0,361.70001220703125,143.1699981689453,98.27999877929688,243.64999389648438,368.7699890136719,54105100,24542100,33454500,8256800
